CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2023-03-24 12:39:26.5195695,C:\Windows\System32\winevt\logs\Microsoft-AppV-Client%4Admin.evtx,C:\Users\Administrator\Desktop\kape\collect\C\Windows\System32\winevt\logs\Microsoft-AppV-Client%4Admin.evtx,69632,C70BFFF0A559AF8CB76AD80A504DD55BD6CC484D,False,2021-09-15 16:02:35.2937725,2023-03-15 06:17:16.6838553,2023-03-15 06:17:16.6838553,00:00:00.0156220
2023-03-24 12:39:26.6133178,C:\Windows\System32\winevt\logs\Microsoft-Windows-Application-Experience%4Program-Telemetry.evtx,C:\Users\Administrator\Desktop\kape\collect\C\Windows\System32\winevt\logs\Microsoft-Windows-Application-Experience%4Program-Telemetry.evtx,69632,D8F7B90E60FE012784BDD6C6AACD432E4D06A418,False,2021-09-15 15:15:28.3550401,2023-03-15 06:17:16.6838553,2023-03-15 06:17:16.6838553,00:00:00
2023-03-24 12:39:26.6601895,C:\Windows\System32\winevt\logs\Microsoft-Windows-Bits-Client%4Operational.evtx,C:\Users\Administrator\Desktop\kape\collect\C\Windows\System32\winevt\logs\Microsoft-Windows-Bits-Client%4Operational.evtx,69632,E809840659DC665EE0F4D57665D17DAE0E2B603F,False,2021-09-15 16:02:37.2170743,2023-03-15 06:47:14.7400415,2023-03-15 06:47:14.7400415,00:00:00
2023-03-24 12:39:26.9258195,C:\Windows\System32\winevt\logs\Microsoft-Windows-LanguagePackSetup%4Operational.evtx,C:\Users\Administrator\Desktop\kape\collect\C\Windows\System32\winevt\logs\Microsoft-Windows-LanguagePackSetup%4Operational.evtx,69632,8EB6B4D19586844E3A91F8A429F5B6E4BB19FB92,False,2021-08-19 06:45:29.1444024,2023-03-15 07:06:01.1983372,2023-03-15 07:06:01.1983372,00:00:00
2023-03-24 12:39:26.9414447,C:\Windows\System32\winevt\logs\Microsoft-Windows-MUI%4Operational.evtx,C:\Users\Administrator\Desktop\kape\collect\C\Windows\System32\winevt\logs\Microsoft-Windows-MUI%4Operational.evtx,69632,BD48756DB749B17C703FD051F7E59509177C2B20,False,2021-08-18 23:34:55.1353422,2023-03-24 12:03:33.0206781,2023-03-24 12:03:33.0206781,00:00:00
2023-03-24 12:39:27.0977184,C:\Windows\System32\winevt\logs\Microsoft-Windows-Security-LessPrivilegedAppContainer%4Operational.evtx,C:\Users\Administrator\Desktop\kape\collect\C\Windows\System32\winevt\logs\Microsoft-Windows-Security-LessPrivilegedAppContainer%4Operational.evtx,69632,563D2B54F46A23B1228461D65F05AD53F7C64893,False,2021-09-15 16:02:45.3311466,2023-03-15 06:17:16.6569400,2023-03-15 06:17:16.6569400,00:00:00
2023-03-24 12:39:27.1133195,C:\Windows\System32\winevt\logs\Microsoft-Windows-Security-Mitigations%4KernelMode.evtx,C:\Users\Administrator\Desktop\kape\collect\C\Windows\System32\winevt\logs\Microsoft-Windows-Security-Mitigations%4KernelMode.evtx,69632,8110342EA99F1DC0D0679ED77346C690909FD45E,False,2021-08-19 06:35:15.1834602,2023-03-15 06:17:16.6569400,2023-03-15 06:17:16.6569400,00:00:00
2023-03-24 12:39:27.1445710,C:\Windows\System32\winevt\logs\Microsoft-Windows-ServerManager-DeploymentProvider%4Operational.evtx,C:\Users\Administrator\Desktop\kape\collect\C\Windows\System32\winevt\logs\Microsoft-Windows-ServerManager-DeploymentProvider%4Operational.evtx,69632,C94125AD146636D08AD21D157FEA6F2A80577085,False,2021-08-19 06:35:14.8709593,2023-03-15 07:06:01.2073599,2023-03-15 07:06:01.2073599,00:00:00
2023-03-24 12:39:27.1758248,C:\Windows\System32\winevt\logs\Microsoft-Windows-ServerManager-MultiMachine%4Operational.evtx,C:\Users\Administrator\Desktop\kape\collect\C\Windows\System32\winevt\logs\Microsoft-Windows-ServerManager-MultiMachine%4Operational.evtx,1052672,A472A07D4D01BF658A1740E13616A9670E86F777,False,2021-09-15 16:02:45.8000870,2023-03-15 07:06:01.1983372,2023-03-15 07:06:01.1983372,00:00:00.0156252
2023-03-24 12:39:27.2383161,C:\Windows\System32\winevt\logs\Microsoft-Windows-Storage-ClassPnP%4Operational.evtx,C:\Users\Administrator\Desktop\kape\collect\C\Windows\System32\winevt\logs\Microsoft-Windows-Storage-ClassPnP%4Operational.evtx,69632,52786663CC9F66949B15916D06D67F8D10AE60A6,False,2021-09-15 15:15:39.4443484,2023-03-15 06:17:16.6442033,2023-03-15 06:17:16.6442033,00:00:00
